Brand,Models,Series,Issues,Issues Description,Price
Apple,iPad,iPad Pro 12.9 2018,Screen / LCD,back camera replacemet,200
Apple,iPad,iPad Pro 12.9 2nd Gen,Battery,battery replacemet,200
Apple,iPad,iPad Pro 12.9 1st Gen,Charging port,screen replacement,200
Apple,iPad,iPad Pro 11 2018,Speaker,screen replacement,200
Apple,iPad,iPad Pro 10.5,Front Camera,screen replacement,200
Apple,iPad,iPad Pro 9.7,Rear Camera,screen replacement,200
Apple,iPad,iPad Air 3 2019,Mic Issues,screen replacement,200
Apple,iPad,iPad Air 2,Back glass,screen replacement,200
Apple,iPad,iPad Air 1,Screen / LCD,screen replacement,200
Apple,iPad,iPad Mini 5 2019,Battery,screen replacement,200
Apple,iPad,iPad Mini 4,Charging port,screen replacement,100
Apple,iPad,iPad Mini 3,Speaker,screen replacement,100
Apple,iPad,iPad Mini 2,Front Camera,screen replacement,100
Apple,iPad,iPad Mini 1,Rear Camera,screen replacement,100
Apple,iPad,iPad 7 2019 10.2,Mic Issues,screen replacement,100
Apple,iPad,iPad 6 2018 9.7,Back glass,screen replacement,100
Apple,iPad,iPad 5 2017 9.7,Screen / LCD,screen replacement,100
Apple,iPad,iPad 4,Battery,screen replacement,100
Apple,iPad,iPad 3,Charging port,screen replacement,100
Apple,iPad,iPad 2,Speaker,screen replacement,100
Apple,iPad,iPad 1,Front Camera,screen replacement,100
Apple,iPhone,iPhone 12 Pro Max,Rear Camera,screen replacement,100
Apple,iPhone,iPhone 12 Pro,Mic Issues,screen replacement,100
Apple,iPhone,iPhone 12,Back glass,screen replacement,100
Apple,iPhone,iPhone 11 Pro Max,Screen / LCD,screen replacement,100
Apple,iPhone,iPhone 11 Pro,Battery,screen replacement,100
Apple,iPhone,iPhone 11,Charging port,screen replacement,100
Apple,iPhone,iPhone XS Max,Speaker,screen replacement,100
Apple,iPhone,iPhone XS,Front Camera,screen replacement,100
Apple,iPhone,iPhone XR,Rear Camera,screen replacement,100
Apple,iPhone,iPhone X,Mic Issues,screen replacement,100
Apple,iPhone,iPhone 8 Plus,Back glass,screen replacement,100
Apple,iPhone,iPhone 8,Screen / LCD,screen replacement,100
Apple,iPhone,iPhone 7 Plus,Battery,screen replacement,100
Apple,iPhone,iPhone 7,Charging port,screen replacement,100
Apple,iPhone,iPhone 6S Plus,Speaker,screen replacement,100
Apple,iPhone,iPhone 6S,Front Camera,screen replacement,100
Apple,iPhone,iPhone 6 Plus,Rear Camera,screen replacement,100
Apple,iPhone,iPhone 6,Mic Issues,screen replacement,100
Apple,iPhone,iPhone SE,Back glass,screen replacement,100
Apple,iPhone,iPhone 5C,Screen / LCD,screen replacement,100
Apple,iPhone,iPhone 5S,Battery,screen replacement,100
Apple,iPhone,iPhone 5,Charging port,screen replacement,100
Apple,iPhone,iPhone 4S,Speaker,screen replacement,100
Apple,iPhone,iPhone 4,Front Camera,screen replacement,100
Xiaomi,Mi Series,Xiaomi Mi 10 Pro,Rear Camera,screen replacement,100
Xiaomi,Mi Series,Xiaomi Mi 10,Mic Issues,screen replacement,100
Xiaomi,Mi Series,Xiaomi Mi A3,Back glass,screen replacement,100
Xiaomi,Mi Series,Xiaomi Mi 9 SE,Screen / LCD,screen replacement,100
Xiaomi,Mi Series,Xiaomi Mi 9T,Battery,screen replacement,100
Xiaomi,Mi Series,Xiaomi Mi 9 Pro,Charging port,screen replacement,100
Xiaomi,Mi Series,Xiaomi Mi 9 Lite,Speaker,screen replacement,100
Xiaomi,Mi Series,Xiaomi Mi 9,Front Camera,screen replacement,100
Xiaomi,Mi Series,Xiaomi Mi 8 SE,Rear Camera,screen replacement,100
Xiaomi,Mi Series,Xiaomi MI 8 Lite,Mic Issues,screen replacement,100
Xiaomi,Mi Series,Xiaomi Mi 8,Back glass,screen replacement,100
Xiaomi,Mi Series,Xiaomi Mi 6,Screen / LCD,screen replacement,100
Xiaomi,Mi Series,Xiaomi Mi 5S Plus,Battery,screen replacement,100
Xiaomi,Mi Series,Xiaomi Mi 5s,Charging port,screen replacement,100
Xiaomi,Mi Series,Xiaomi Mi 5c,Speaker,screen replacement,100
Xiaomi,Mi Series,Xiaomi Mi 5,Front Camera,screen replacement,100
Xiaomi,Mi Series,Xiaomi Mi 4S,Rear Camera,screen replacement,100
Xiaomi,Mi Series,Xiaomi Mi 4i,Mic Issues,screen replacement,100
Xiaomi,Mi Series,Xiaomi Mi 4C,Back glass,screen replacement,100
Xiaomi,Mi Series,Xiaomi Mi 4,Screen / LCD,screen replacement,100
Xiaomi,Mi Series,Xiaomi Mi 3,Battery,screen replacement,100
Xiaomi,Mi Series,Xiaomi Mi 2A,Charging port,screen replacement,100
Xiaomi,Mi Series,Xiaomi Mi A2 Lite,Speaker,screen replacement,100
Xiaomi,Mi Series,Xiaomi Mi A2,Front Camera,screen replacement,100
Xiaomi,Mi Series,Xiaomi Mi A1,Rear Camera,screen replacement,100
